pair_id,match_mode,r1_session,r2_session,r1_date,r2_date,r1_n_before,r2_n_before,n_retained_each,r1_retain_fraction,r2_retain_fraction,direction_r1,direction_r2,within_tolerance,requested_tolerance,minimum_trials,r1_neural_mean_before,r2_neural_mean_before,neural_gap_before,r1_neural_mean_after,r2_neural_mean_after,neural_gap_after,neural_wasserstein_before,neural_wasserstein_after,r1_position_mean_before,r2_position_mean_before,position_gap_before,r1_position_mean_after,r2_position_mean_after,position_gap_after,position_wasserstein_before,position_wasserstein_after
20,position,TSAL20250806_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,20250806,20250829,100,95,40,0.4,0.42105263157894735,adaptive,adaptive,True,0.1,40,0.583121467462783,0.8623892010399029,0.3863931822328172,0.5756900642486891,0.9243036911644315,0.4648201042940063,0.27926773357711987,0.3486136269157423,3.105854038146291,1.7066157425394428,0.5815052808113298,2.409606415996059,2.409541130226015,2.709432297645951e-05,1.4493436788938967,1.2865553536202363
20,joint,TSAL20250806_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,20250806,20250829,100,95,40,0.4,0.42105263157894735,joint,joint,True,0.1,40,0.583121467462783,0.8623892010399029,0.3863931822328172,0.6838909472164104,0.6838874695948616,5.085065689147732e-06,0.27926773357711987,0.03976688226639851,3.105854038146291,1.7066157425394428,0.5815052808113298,2.4277491708565275,2.4263980474844153,0.0005566882549450046,1.4493436788938967,1.136408468347342
21,neural,TSAL20250806_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,20250806,20250830,100,79,40,0.4,0.5063291139240507,adaptive,adaptive,True,0.1,40,0.583121467462783,0.7607158166146287,0.2643093047887416,0.6665953428155779,0.6665920479586108,4.942826477118967e-06,0.1775966022084416,0.025290749943958354,3.105854038146291,2.6436476124827157,0.16078138724006066,3.775399701005574,1.279906914879062,0.9872765296907007,2.2697591592219264,2.495492786126512
21,position,TSAL20250806_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,20250806,20250830,100,79,40,0.4,0.5063291139240507,adaptive,adaptive,True,0.1,40,0.583121467462783,0.7607158166146287,0.2643093047887416,0.6015832533897882,0.7580672440534815,0.23018266967570084,0.1775966022084416,0.15648399066369315,3.105854038146291,2.6436476124827157,0.16078138724006066,3.561730215069731,3.5737683139689755,0.0033741437547086467,2.2697591592219264,3.8668878062813485
21,joint,TSAL20250806_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,20250806,20250830,100,79,40,0.4,0.5063291139240507,joint,joint,True,0.1,40,0.583121467462783,0.7607158166146287,0.2643093047887416,0.6636877914786428,0.6632987660618984,0.0005863290996185745,0.1775966022084416,0.012061931304037337,3.105854038146291,2.6436476124827157,0.16078138724006066,3.284405655845566,3.2871239307586726,0.0008272883435381012,2.2697591592219264,3.6739789314235787
22,neural,TSAL20250807_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,20250807,20250828,96,90,40,0.4166666666666667,0.4444444444444444,adaptive,adaptive,True,0.1,40,0.5640571957575141,0.8688595485308579,0.42542925677753524,0.670118394087092,0.6786289350743886,0.012619918947439425,0.3048023527733439,0.038796256556716764,3.2137091442087673,3.269424634620207,0.017187826847991815,3.8365271130175502,2.6718999739127667,0.3578828259268637,0.25562102998674047,1.1646271391047842
22,position,TSAL20250807_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,20250807,20250828,96,90,40,0.4166666666666667,0.4444444444444444,adaptive,adaptive,True,0.1,40,0.5640571957575141,0.8688595485308579,0.42542925677753524,0.5781789632686039,0.8937658659865962,0.4288026241821556,0.3048023527733439,0.3156550703681263,3.2137091442087673,3.269424634620207,0.017187826847991815,5.094004374709072,5.093962687443216,8.183627921422846e-06,0.25562102998674047,0.49427046074661274
22,joint,TSAL20250807_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,20250807,20250828,96,90,40,0.4166666666666667,0.4444444444444444,joint,joint,True,0.1,40,0.5640571957575141,0.8688595485308579,0.42542925677753524,0.6662010530427878,0.6786289350743886,0.018482458216150337,0.3048023527733439,0.034284087160181095,3.2137091442087673,3.269424634620207,0.017187826847991815,2.706661786524254,2.6718999739127667,0.01292606245304618,0.25562102998674047,0.42061076910063216
23,neural,TSAL20250807_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,20250807,20250829,96,95,40,0.4166666666666667,0.42105263157894735,adaptive,adaptive,True,0.1,40,0.5640571957575141,0.8623892010399029,0.41828701863902945,0.662501125880073,0.6624985978968214,3.815824571517941e-06,0.29833200528238885,0.01167298941415657,3.2137091442087673,1.7066157425394428,0.6125991418690022,3.7589847289148945,1.3408424197878166,0.9483232425797815,1.5070934016693243,2.418142309127078
23,position,TSAL20250807_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,20250807,20250829,96,95,40,0.4166666666666667,0.42105263157894735,adaptive,adaptive,True,0.1,40,0.5640571957575141,0.8623892010399029,0.41828701863902945,0.5898122799094991,0.8771343845431196,0.39172808609348153,0.29833200528238885,0.28732210463362073,3.2137091442087673,1.7066157425394428,0.6125991418690022,2.5596761177074887,2.5597847834844383,4.2452039012259344e-05,1.5070934016693243,0.9900838584159661
23,joint,TSAL20250807_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,20250807,20250829,96,95,40,0.4166666666666667,0.42105263157894735,joint,joint,True,0.1,40,0.5640571957575141,0.8623892010399029,0.41828701863902945,0.6481717077094213,0.6480724579971868,0.00015313428574687408,0.29833200528238885,0.009543421320476036,3.2137091442087673,1.7066157425394428,0.6125991418690022,2.1072016116856975,2.108156064699777,0.00045284556488581077,1.5070934016693243,0.7769140787033253
24,neural,TSAL20250807_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,20250807,20250830,96,79,40,0.4166666666666667,0.5063291139240507,adaptive,adaptive,True,0.1,40,0.5640571957575141,0.7607158166146287,0.29689406263640145,0.64879867198943,0.6487922350115856,9.921428717918822e-06,0.19665862085711464,0.01883276723077507,3.2137091442087673,2.6436476124827157,0.19464804873796002,3.2691283621485256,1.5409058635973332,0.7185905203338584,1.9023467931168458,2.4684448097952423
24,position,TSAL20250807_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,20250807,20250830,96,79,40,0.4166666666666667,0.5063291139240507,adaptive,adaptive,True,0.1,40,0.5640571957575141,0.7607158166146287,0.29689406263640145,0.5843716888823445,0.7798053902552289,0.28652248210538284,0.19665862085711464,0.19543370137288416,3.2137091442087673,2.6436476124827157,0.19464804873796002,4.08524521391411,4.084879930089307,8.941939526379705e-05,1.9023467931168458,3.6919830553826922
24,joint,TSAL20250807_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,20250807,20250830,96,79,40,0.4166666666666667,0.5063291139240507,joint,joint,True,0.1,40,0.5640571957575141,0.7607158166146287,0.29689406263640145,0.6520082483800103,0.6517525091081007,0.0003923101235265015,0.19665862085711464,0.013664511025105843,3.2137091442087673,2.6436476124827157,0.19464804873796002,3.4609324784852813,3.459662700278185,0.00036695635976302275,1.9023467931168458,3.6046130533263314
25,neural,TSAL20250808_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,20250808,20250828,62,90,40,0.6451612903225806,0.4444444444444444,adaptive,adaptive,False,0.1,40,0.5034286108365894,0.8688595485308579,0.532586301499115,0.5524463243532246,0.6786289350743886,0.2049957705751189,0.36543093769426843,0.1261826107211641,3.0664213433139365,3.269424634620207,0.06408087949526242,3.4759558256383736,2.6718999739127667,0.26157277527046474,0.5135807101070695,0.8461010290170132
25,position,TSAL20250808_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,20250808,20250828,62,90,40,0.6451612903225806,0.4444444444444444,adaptive,adaptive,True,0.1,40,0.5034286108365894,0.8688595485308579,0.532586301499115,0.5109309620880643,0.8664292828876479,0.5162023836485164,0.36543093769426843,0.35549832079958354,3.0664213433139365,3.269424634620207,0.06408087949526242,3.8322897655590746,3.8321955619864605,2.458183911594892e-05,0.5135807101070695,1.2255209939829081
25,joint,TSAL20250808_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,20250808,20250828,62,90,40,0.6451612903225806,0.4444444444444444,joint,joint,False,0.1,40,0.5034286108365894,0.8688595485308579,0.532586301499115,0.5503590842434207,0.6786289350743886,0.20874060416336412,0.36543093769426843,0.12826985083096798,3.0664213433139365,3.269424634620207,0.06408087949526242,3.064726041200623,2.6718999739127667,0.13695369586685247,0.5135807101070695,0.4577094131370942
26,neural,TSAL20250808_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,20250808,20250829,62,95,40,0.6451612903225806,0.42105263157894735,adaptive,adaptive,False,0.1,40,0.5034286108365894,0.8623892010399029,0.5256346594428122,0.5524463243532246,0.6122997163585372,0.10277500830779716,0.35896059020331356,0.05985339200531254,3.0664213433139365,1.7066157425394428,0.5697863127042399,3.4759558256383736,1.3042296530032362,0.9086367808691302,1.443504980257921,2.1717425728926854
26,position,TSAL20250808_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,20250808,20250829,62,95,40,0.6451612903225806,0.42105263157894735,adaptive,adaptive,True,0.1,40,0.5034286108365894,0.8623892010399029,0.5256346594428122,0.5070559239623063,0.8626258235820171,0.5192007563175979,0.35896059020331356,0.35556989961971097,3.0664213433139365,1.7066157425394428,0.5697863127042399,2.8098053005179793,2.8097677505771177,1.3363983534038584e-05,1.443504980257921,0.6743056023292281
26,joint,TSAL20250808_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,20250808,20250829,62,95,40,0.6451612903225806,0.42105263157894735,joint,joint,False,0.1,40,0.5034286108365894,0.8623892010399029,0.5256346594428122,0.545963933260483,0.6484509066942472,0.17161034844082915,0.35896059020331356,0.1024869734337643,3.0664213433139365,1.7066157425394428,0.5697863127042399,2.413017973164468,2.084600287693236,0.14604071151587786,1.443504980257921,1.017906295599481
27,neural,TSAL20250808_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,20250808,20250830,62,79,40,0.6451612903225806,0.5063291139240507,adaptive,adaptive,True,0.1,40,0.5034286108365894,0.7607158166146287,0.4070534983044376,0.5524463243532246,0.5947430319594136,0.07373971415170985,0.25728720577803943,0.04329972573219943,3.0664213433139365,2.6436476124827157,0.14808007892865685,3.4759558256383736,0.7777521746477718,1.2686360468603366,2.228184342612057,2.6982036509906013
27,position,TSAL20250808_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,20250808,20250830,62,79,40,0.6451612903225806,0.5063291139240507,adaptive,adaptive,True,0.1,40,0.5034286108365894,0.7607158166146287,0.4070534983044376,0.5175488835840851,0.7716333748853546,0.39417931736498923,0.25728720577803943,0.2540844913012694,3.0664213433139365,2.6436476124827157,0.14808007892865685,4.152864699433394,4.152810441424027,1.3065285710560961e-05,2.228184342612057,3.4867995844362416
27,joint,TSAL20250808_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,20250808,20250830,62,79,40,0.6451612903225806,0.5063291139240507,joint,joint,False,0.1,40,0.5034286108365894,0.7607158166146287,0.4070534983044376,0.5509587506712179,0.6135465681367333,0.10749254031674757,0.25728720577803943,0.06258781746551527,3.0664213433139365,2.6436476124827157,0.14808007892865685,3.2489832750556835,3.000483900355864,0.07952657969867805,2.228184342612057,3.025578818474113
28,neural,TSAL20250809_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,20250809,20250828,61,90,40,0.6557377049180327,0.4444444444444444,adaptive,adaptive,False,0.1,40,0.5157905404120591,0.8688595485308579,0.5099757851289956,0.5668117563805185,0.6786289350743886,0.17956243032857191,0.3530690081187989,0.11181717869387013,3.0955181681951185,3.269424634620207,0.05464509951233704,3.8167975601714184,2.6718999739127667,0.3528897996076011,0.18321509148591655,1.1498431305643038
28,position,TSAL20250809_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,20250809,20250828,61,90,40,0.6557377049180327,0.4444444444444444,adaptive,adaptive,True,0.1,40,0.5157905404120591,0.8688595485308579,0.5099757851289956,0.5542613870496526,0.8658107209861086,0.43877959742113376,0.3530690081187989,0.31154933393645606,3.0955181681951185,3.269424634620207,0.05464509951233704,4.258375619294362,4.258404167378849,6.703962108345417e-06,0.18321509148591655,0.6042631705708109
28,joint,TSAL20250809_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,20250809,20250828,61,90,40,0.6557377049180327,0.4444444444444444,joint,joint,False,0.1,40,0.5157905404120591,0.8688595485308579,0.5099757851289956,0.5668117563805185,0.6829474759984254,0.18585294928662385,0.3530690081187989,0.11613571961790686,3.0955181681951185,3.269424634620207,0.05464509951233704,3.8167975601714184,3.1874371562027854,0.17970854189033408,0.18321509148591655,0.6817929093440206
29,neural,TSAL20250809_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,20250809,20250829,61,95,40,0.6557377049180327,0.42105263157894735,adaptive,adaptive,True,0.1,40,0.5157905404120591,0.8623892010399029,0.5029803445850825,0.5668117563805185,0.6122997163585372,0.07715633513827312,0.3465986606278438,0.04578576565036001,3.0955181681951185,1.7066157425394428,0.5784521845802594,3.8167975601714184,1.3042296530032362,0.9812749679221399,1.4066280429981415,2.5125679071681826
29,position,TSAL20250809_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,20250809,20250829,61,95,40,0.6557377049180327,0.42105263157894735,adaptive,adaptive,True,0.1,40,0.5157905404120591,0.8623892010399029,0.5029803445850825,0.506354505688926,0.9089318441264382,0.5688987793742682,0.3465986606278438,0.4025773384375122,3.0955181681951185,1.7066157425394428,0.5784521845802594,2.9869654328239905,2.98696561222872,6.006253769642946e-08,1.4066280429981415,0.7245766388179851
29,joint,TSAL20250809_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,20250809,20250829,61,95,40,0.6557377049180327,0.42105263157894735,joint,joint,False,0.1,40,0.5157905404120591,0.8623892010399029,0.5029803445850825,0.5538152371260877,0.6361283627979948,0.13834794468772907,0.3465986606278438,0.08231312567190713,3.0955181681951185,1.7066157425394428,0.5784521845802594,2.267898731028451,2.0202392899344197,0.11550908104325476,1.4066280429981415,0.9913453835152153
30,neural,TSAL20250809_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,20250809,20250830,61,79,40,0.6557377049180327,0.5063291139240507,adaptive,adaptive,True,0.1,40,0.5157905404120591,0.7607158166146287,0.383743135871354,0.5668117563805185,0.5947430319594136,0.04809291108655119,0.2449252762025696,0.03398073566273923,3.0955181681951185,2.6436476124827157,0.1574690723288477,3.8167975601714184,0.7777521746477718,1.322891495761877,1.850778059922432,3.039045385523647
30,position,TSAL20250809_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,20250809,20250830,61,79,40,0.6557377049180327,0.5063291139240507,adaptive,adaptive,True,0.1,40,0.5157905404120591,0.7607158166146287,0.383743135871354,0.5439498880191678,0.7709309594405028,0.3452496427487844,0.2449252762025696,0.22698107142133495,3.0955181681951185,2.6436476124827157,0.1574690723288477,4.249403902481676,4.249925737016856,0.0001227942807993997,1.850778059922432,2.928889158367853
30,joint,TSAL20250809_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,20250809,20250830,61,79,40,0.6557377049180327,0.5063291139240507,joint,joint,True,0.1,40,0.5157905404120591,0.7607158166146287,0.383743135871354,0.5628355750129796,0.6140595638206564,0.08704936764110076,0.2449252762025696,0.051223988807676854,3.0955181681951185,2.6436476124827157,0.1574690723288477,3.2269783837778214,2.994163876199821,0.0748462252907353,1.850778059922432,3.130551295922185
31,neural,TSAL20250810_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,20250810,20250828,83,90,40,0.4819277108433735,0.4444444444444444,adaptive,adaptive,False,0.1,40,0.5115709960497055,0.8688595485308579,0.5176479959586996,0.5862112250033015,0.6786289350743886,0.14613342142047506,0.35728855248115243,0.09241771007108732,2.592911719242943,3.269424634620207,0.23079976123562307,3.495149634645113,2.6718999739127667,0.26698331065472236,0.6765129153772634,0.9921124270795368
31,position,TSAL20250810_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,20250810,20250828,83,90,40,0.4819277108433735,0.4444444444444444,adaptive,adaptive,True,0.1,40,0.5115709960497055,0.8688595485308579,0.5176479959586996,0.5321086948236214,0.8982882176394912,0.5119970822438599,0.35728855248115243,0.3661795228158698,2.592911719242943,3.269424634620207,0.23079976123562307,3.821857655878217,3.821858325976452,1.7533310663800196e-07,0.6765129153772634,0.1928626687280375
31,joint,TSAL20250810_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,20250810,20250828,83,90,40,0.4819277108433735,0.4444444444444444,joint,joint,False,0.1,40,0.5115709960497055,0.8688595485308579,0.5176479959586996,0.5857207713090398,0.6818158376975892,0.15162491671756823,0.35728855248115243,0.09609506638854941,2.592911719242943,3.269424634620207,0.23079976123562307,3.3907612409511283,2.964576820098603,0.13411856828340968,0.6765129153772634,1.025777312738642
32,neural,TSAL20250810_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,20250810,20250829,83,95,40,0.4819277108433735,0.42105263157894735,adaptive,adaptive,True,0.1,40,0.5115709960497055,0.8623892010399029,0.5106672023444612,0.5862112250033015,0.6122997163585372,0.04353484053402467,0.35081820499019745,0.026088491355235784,2.592911719242943,1.7066157425394428,0.41227599292322353,3.495149634645113,1.3042296530032362,0.9130013905258181,0.9476536022289983,2.190919981641877
32,position,TSAL20250810_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,20250810,20250829,83,95,40,0.4819277108433735,0.42105263157894735,adaptive,adaptive,True,0.1,40,0.5115709960497055,0.8623892010399029,0.5106672023444612,0.5227151236926009,0.8773686846151686,0.5066176164857226,0.35081820499019745,0.35465356092256767,2.592911719242943,1.7066157425394428,0.41227599292322353,2.682683973519019,2.6826216862094125,2.3218550277230443e-05,0.9476536022289983,0.7045751414291974
32,joint,TSAL20250810_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,20250810,20250829,83,95,40,0.4819277108433735,0.42105263157894735,joint,joint,False,0.1,40,0.5115709960497055,0.8623892010399029,0.5106672023444612,0.5668183342530302,0.6363392881608066,0.1155641665109513,0.35081820499019745,0.06952095390777632,2.592911719242943,1.7066157425394428,0.41227599292322353,2.2989571890927083,2.1554181006425392,0.06444858329783905,0.9476536022289983,0.8930020319482681
33,neural,TSAL20250810_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,20250810,20250830,83,79,40,0.4819277108433735,0.5063291139240507,adaptive,adaptive,True,0.1,40,0.5115709960497055,0.7607158166146287,0.3916488296269951,0.5862112250033015,0.5947430319594136,0.014449004956474745,0.24914482056492318,0.011840086691965866,2.592911719242943,2.6436476124827157,0.019377568371044603,3.495149634645113,0.7777521746477718,1.2719213224546524,1.9149396845054747,2.7173974599973407
33,position,TSAL20250810_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,20250810,20250830,83,79,40,0.4819277108433735,0.5063291139240507,adaptive,adaptive,True,0.1,40,0.5115709960497055,0.7607158166146287,0.3916488296269951,0.550991580428255,0.7817362689698193,0.3462742804478498,0.24914482056492318,0.2307446885415643,2.592911719242943,2.6436476124827157,0.019377568371044603,4.311028563768682,4.310839226453762,4.3920254758368006e-05,1.9149396845054747,3.390820579966114
33,joint,TSAL20250810_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,20250810,20250830,83,79,40,0.4819277108433735,0.5063291139240507,joint,joint,True,0.1,40,0.5115709960497055,0.7607158166146287,0.3916488296269951,0.5827466225822999,0.6130765691154505,0.05072647318386614,0.24914482056492318,0.030330662741349056,2.592911719242943,2.6436476124827157,0.019377568371044603,3.1408744730109097,3.002730589226008,0.04497160295476504,1.9149396845054747,3.3286074489269835
34,neural,TSAL20250811_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,20250811,20250828,86,90,40,0.46511627906976744,0.4444444444444444,adaptive,adaptive,False,0.1,40,0.514410950145457,0.8688595485308579,0.5124790830493116,0.6076228700233562,0.6786289350743886,0.11040772074273039,0.35444859838540094,0.07168804297848136,2.062476061429015,3.269424634620207,0.45272732633055396,2.925287614691151,2.6718999739127667,0.09054105718889638,1.2069485731911918,0.6292363641633536
34,position,TSAL20250811_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,20250811,20250828,86,90,40,0.46511627906976744,0.4444444444444444,adaptive,adaptive,True,0.1,40,0.514410950145457,0.8688595485308579,0.5124790830493116,0.5326299260401491,0.8761833374377692,0.4877202966552066,0.35444859838540094,0.3435534113976201,2.062476061429015,3.269424634620207,0.45272732633055396,2.9225954460798373,2.9226109099600004,5.2911323300222255e-06,1.2069485731911918,0.5535177939317371
34,joint,TSAL20250811_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,20250811,20250828,86,90,40,0.46511627906976744,0.4444444444444444,joint,joint,False,0.1,40,0.514410950145457,0.8688595485308579,0.5124790830493116,0.6076228700233562,0.6786289350743886,0.11040772074273039,0.35444859838540094,0.07168804297848136,2.062476061429015,3.269424634620207,0.45272732633055396,2.925287614691151,2.6718999739127667,0.09054105718889638,1.2069485731911918,0.6292363641633536
