condition,day_index,r2_date,time_bin,time_end_ms,gap_mean
Original interference random fixed40,2,20250829,57,1740,0.1158058948394785
Original interference random fixed40,2,20250829,58,1770,0.1153258812850521
Original interference random fixed40,2,20250829,59,1800,0.1147856099078418
Original interference random fixed40,2,20250829,60,1830,0.114285354401876
Original interference random fixed40,2,20250829,61,1860,0.1138559176389156
Original interference random fixed40,2,20250829,62,1890,0.1134283119169591
Original interference random fixed40,2,20250829,63,1920,0.1130539919016741
Original interference random fixed40,2,20250829,64,1950,0.1127140051264618
Original interference random fixed40,2,20250829,65,1980,0.1123939225028259
Original interference random fixed40,2,20250829,66,2010,0.1120997167915293
Original interference random fixed40,2,20250829,67,2040,0.1118146930814504
Original interference random fixed40,2,20250829,68,2070,0.1115787873606205
Original interference random fixed40,2,20250829,69,2100,0.1114237909844483
Original interference random fixed40,2,20250829,70,2130,0.1113453612290253
Original interference random fixed40,2,20250829,71,2160,0.1113247646962326
Original interference random fixed40,2,20250829,72,2190,0.1113517949351958
Original interference random fixed40,2,20250829,73,2220,0.1114108416869019
Original interference random fixed40,2,20250829,74,2250,0.1114963582374527
Original interference random fixed40,2,20250829,75,2280,0.1116389128959036
Original interference random fixed40,2,20250829,76,2310,0.1118396689815382
Original interference random fixed40,2,20250829,77,2340,0.1120892094600851
Original interference random fixed40,2,20250829,78,2370,0.1123599040012238
Original interference random fixed40,2,20250829,79,2400,0.1126160192650296
Original interference random fixed40,2,20250829,80,2430,0.1128598733888917
Original interference random fixed40,2,20250829,81,2460,0.1131030842651081
Original interference random fixed40,2,20250829,82,2490,0.1133597985203481
Original interference random fixed40,2,20250829,83,2520,0.1136651840717557
Original interference random fixed40,2,20250829,84,2550,0.1136831164608567
Original interference random fixed40,2,20250829,85,2580,0.1136887551822302
Original interference random fixed40,2,20250829,86,2610,0.1136927954145668
Original interference random fixed40,2,20250829,87,2640,0.1136956543769913
Original interference random fixed40,2,20250829,88,2670,0.1136980285358616
Original interference random fixed40,3,20250830,3,120,0.1770549141474658
Original interference random fixed40,3,20250830,4,150,0.1854352368825632
Original interference random fixed40,3,20250830,5,180,0.1896579094043297
Original interference random fixed40,3,20250830,6,210,0.1828593596887995
Original interference random fixed40,3,20250830,7,240,0.1731797248932183
Original interference random fixed40,3,20250830,8,270,0.1601943554474631
Original interference random fixed40,3,20250830,9,300,0.1419096386259783
Original interference random fixed40,3,20250830,10,330,0.1265031659526082
Original interference random fixed40,3,20250830,11,360,0.1150452513391615
Original interference random fixed40,3,20250830,12,390,0.1043150668298554
Original interference random fixed40,3,20250830,13,420,0.0948651937260594
