condition,day_index,r2_date,time_bin,time_center_ms,gap_mean,running_mean_gap
Original interference random fixed40,1,20250828,16,495.0,-0.015421155964089195,0.06770557662452457
Original interference random fixed40,2,20250829,1,45.0,0.15817146400826598,0.15817146400826598
Original interference random fixed40,2,20250829,2,75.0,0.3167017078117555,0.23743658591001074
Original interference random fixed40,2,20250829,3,105.0,0.3140833757642849,0.2629855158614355
Original interference random fixed40,2,20250829,4,135.0,0.2482736779253523,0.2593075563774147
Original interference random fixed40,2,20250829,5,165.0,0.1894179541554605,0.24532963593302384
Original interference random fixed40,2,20250829,6,195.0,0.1438767066379313,0.22842081438384174
Original interference random fixed40,2,20250829,7,225.0,0.10659279019104978,0.2110168109277286
Original interference random fixed40,2,20250829,8,255.0,0.07583039847265238,0.19411850937084407
Original interference random fixed40,2,20250829,9,285.0,0.05326194968007447,0.17846778051631412
Original interference random fixed40,2,20250829,10,315.0,0.03769294019527523,0.16439029648421022
Original interference random fixed40,2,20250829,11,345.0,0.01992412594240746,0.15125700825313723
Original interference random fixed40,2,20250829,12,375.0,0.002645781344609411,0.13887273934409325
Original interference random fixed40,2,20250829,13,405.0,-0.012962167549539612,0.12719313112150613
Original interference random fixed40,2,20250829,14,435.0,-0.025894090143304405,0.11625832960259108
Original interference random fixed40,2,20250829,15,465.0,-0.03275634285244896,0.1063240181055884
Original interference random fixed40,2,20250829,16,495.0,-0.03248359427626201,0.09764854233172277
Original interference random fixed40,3,20250830,1,45.0,0.07032408430438189,0.07032408430438189
Original interference random fixed40,3,20250830,2,75.0,0.08546243052878184,0.07789325741658187
Original interference random fixed40,3,20250830,3,105.0,0.06446037310076469,0.07341562931130946
Original interference random fixed40,3,20250830,4,135.0,0.04353335104450968,0.06594505974460953
Original interference random fixed40,3,20250830,5,165.0,0.04383663853435316,0.06152337550255826
Original interference random fixed40,3,20250830,6,195.0,0.0499280422108357,0.05959081995393782
Original interference random fixed40,3,20250830,7,225.0,0.05520135023943395,0.05896375285186584
Original interference random fixed40,3,20250830,8,255.0,0.04984755585506125,0.057824228227265274
Original interference random fixed40,3,20250830,9,285.0,0.047160931652947664,0.056639417496785534
Original interference random fixed40,3,20250830,10,315.0,0.06204133993144135,0.05717960974025112
Original interference random fixed40,3,20250830,11,345.0,0.08515188732498384,0.05972254406613591
Original interference random fixed40,3,20250830,12,375.0,0.11065874965499013,0.0639672278652071
Original interference random fixed40,3,20250830,13,405.0,0.12768362005173947,0.06886848880263267
Original interference random fixed40,3,20250830,14,435.0,0.15276413181843618,0.07486103473233292
Original interference random fixed40,3,20250830,15,465.0,0.176210486039685,0.08161766481948972
Original interference random fixed40,3,20250830,16,495.0,0.18337517887720894,0.08797750944809718
