r1_session,r2_session,r1_to_r2,r2_to_r1,gap,self_r1,self_r2,self_test_gap,ceiling_adjusted_gap,target_normalized_gap
TYTR20250213_0830_staticAndStaticFree001,TYTR20250305_0830_interferenceAndInterferenceFree001,0.5303858233372549,0.2231086466857097,-0.3072771766515452,0.6754263593027219,0.6296245212152647,0.04580183808745719,-0.3530790147390024,-0.5120616364171098
TYTR20250213_0830_staticAndStaticFree001,TYTR20250306_0830_interferenceAndInterferenceFree001,-0.0845620163905964,0.3563444720895879,0.4409064884801843,0.6754263593027219,0.6223991864916928,0.05302717281102909,0.38787931566915523,0.6634490909645043
TYTR20250215_0830_staticAndStaticFree001,TYTR20250304_0830_interferenceAndInterferenceFree001,0.2765047982389339,0.3833109874504341,0.1068061892115002,0.4867258439117575,0.597653927083442,-0.11092808317168451,0.2177342723831847,0.3248792058959374
TYTR20250215_0830_staticAndStaticFree001,TYTR20250305_0830_interferenceAndInterferenceFree001,0.3889044499435791,0.2673030085499829,-0.12160144139359619,0.4867258439117575,0.6296245212152647,-0.1428986773035072,0.021297235909911005,-0.06849080699261434
TYTR20250215_0830_staticAndStaticFree001,TYTR20250306_0830_interferenceAndInterferenceFree001,-0.0453648916872145,0.4438707935210605,0.489235685208275,0.4867258439117575,0.6223991864916928,-0.1356733425799353,0.6249090277882103,0.9848395156520394
TYTR20250216_0830_staticAndStaticFree001,TYTR20250304_0830_interferenceAndInterferenceFree001,0.1122399492671154,0.4113033240576562,0.2990633747905408,0.5027801335401362,0.597653927083442,-0.09487379354330583,0.3939371683338466,0.6302571205188572
TYTR20250216_0830_staticAndStaticFree001,TYTR20250305_0830_interferenceAndInterferenceFree001,0.1569248719600003,0.3963077818844436,0.2393829099244433,0.5027801335401362,0.6296245212152647,-0.1268443876751285,0.36622729759957184,0.5389971366849919
TYTR20250216_0830_staticAndStaticFree001,TYTR20250306_0830_interferenceAndInterferenceFree001,-0.0716795631829876,0.5145816615647706,0.5862612247477582,0.5027801335401362,0.6223991864916928,-0.11961905295155661,0.7058802776993148,1.1386390862615905
TYTR20250217_0830_staticAndStaticFree001,TYTR20250304_0830_interferenceAndInterferenceFree001,0.2525147475939102,0.4804507461184006,0.22793599852449042,0.6634552456892393,0.597653927083442,0.0658013186057973,0.16213467991869313,0.3016545368315552
TYTR20250217_0830_staticAndStaticFree001,TYTR20250305_0830_interferenceAndInterferenceFree001,0.3706699774046139,0.396585432233287,0.025915454828673135,0.6634552456892393,0.6296245212152647,0.033830724473974616,-0.007915269645301481,0.00904170836612872
TYTR20250217_0830_staticAndStaticFree001,TYTR20250306_0830_interferenceAndInterferenceFree001,0.1000283852876649,0.5529106949469319,0.452882309659267,0.6634552456892393,0.6223991864916928,0.04105605919754651,0.4118262504617205,0.6726663493658552
TYTR20250218_0830_staticAndStaticFree001,TYTR20250304_0830_interferenceAndInterferenceFree001,0.321060960408544,0.2936591620085191,-0.02740179840002488,0.5364871961235417,0.597653927083442,-0.06116673095990033,0.03376493255987545,0.010171910100806314
TYTR20250218_0830_staticAndStaticFree001,TYTR20250305_0830_interferenceAndInterferenceFree001,0.4835546357352572,0.3055677357578076,-0.1779868999774496,0.5364871961235417,0.6296245212152647,-0.09313732509172301,-0.08484957488572659,-0.1984334216948983
TYTR20250218_0830_staticAndStaticFree001,TYTR20250306_0830_interferenceAndInterferenceFree001,-0.0109092622891977,0.4194064657094023,0.4303157279986,0.5364871961235417,0.6223991864916928,-0.08591199036815111,0.5162277183667512,0.7992919244388927
