session,date,animal,experiment,epoch,relative_path,size_bytes,modified_local,known_limitation
TYTR20250208_0830_staticAndStaticFree001,20250208,TY,interference,R1,Data/TYTR20250208_0830_staticAndStaticFree001_processed.nwb,286595894,2026-08-03T12:01:45,
TYTR20250209_0830_staticAndStaticFree,20250209,TY,interference,R1,Data/TYTR20250209_0830_staticAndStaticFree_processed.nwb,269445342,2026-08-03T12:02:03,
TYTR20250210_0830_staticAndStaticFree001,20250210,TY,interference,R1,Data/TYTR20250210_0830_staticAndStaticFree001_processed.nwb,295317845,2026-08-08T16:27:02,
TYTR20250212_0830_staticAndStaticFree001,20250212,TY,interference,R1,Data/TYTR20250212_0830_staticAndStaticFree001_processed.nwb,224143530,2026-08-08T16:27:00,
TYTR20250213_0830_staticAndStaticFree001,20250213,TY,interference,R1,Data/TYTR20250213_0830_staticAndStaticFree001_processed.nwb,293179635,2026-08-03T12:03:39,
TYTR20250215_0830_staticAndStaticFree001,20250215,TY,interference,R1,Data/TYTR20250215_0830_staticAndStaticFree001_processed.nwb,182854532,2026-08-11T14:57:00,
TYTR20250216_0830_staticAndStaticFree001,20250216,TY,interference,R1,Data/TYTR20250216_0830_staticAndStaticFree001_processed.nwb,346103238,2026-08-11T14:56:52,
TYTR20250217_0830_staticAndStaticFree001,20250217,TY,interference,R1,Data/TYTR20250217_0830_staticAndStaticFree001_processed.nwb,241740431,2026-08-03T12:03:55,
TYTR20250218_0830_staticAndStaticFree001,20250218,TY,interference,R1,Data/TYTR20250218_0830_staticAndStaticFree001_processed.nwb,313655328,2026-08-03T12:04:59,
TYTR20250304_0830_interferenceAndInterferenceFree001,20250304,TY,interference,R2,Data/TYTR20250304_0830_interferenceAndInterferenceFree001_processed.nwb,297526801,2026-08-03T12:04:22,
TYTR20250305_0830_interferenceAndInterferenceFree001,20250305,TY,interference,R2,Data/TYTR20250305_0830_interferenceAndInterferenceFree001_processed.nwb,189582317,2026-08-14T02:00:33,
TYTR20250306_0830_interferenceAndInterferenceFree001,20250306,TY,interference,R2,Data/TYTR20250306_0830_interferenceAndInterferenceFree001_processed.nwb,177758221,2026-08-12T13:01:02,
