repeat,random_forward,random_reverse,random_asymmetry,baseline_forward,baseline_reverse,baseline_asymmetry,matched_forward,matched_reverse,matched_asymmetry
25,0.24617422451540866,0.3213057608307784,0.07513153631536973,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
26,0.22168622840510935,0.3053569506239276,0.08367072221881824,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
27,0.25472242016618235,0.30321624167663275,0.0484938215104504,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
28,0.2250708269980869,0.3113076111278136,0.08623678412972668,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
29,0.2554670827298783,0.3072281779841144,0.05176109525423611,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
30,0.23748403346010635,0.30695965516279305,0.0694756217026867,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
31,0.2383613990039873,0.3141908270119423,0.07582942800795497,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
32,0.23923571332398907,0.28763976553833664,0.04840405221434757,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
33,0.26060011697121804,0.3117688800967718,0.05116876312555374,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
34,0.2231312258983918,0.31251436936968596,0.08938314347129417,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
35,0.23662572757339162,0.31027320151194226,0.07364747393855064,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
36,0.27101989544065797,0.3154513504006776,0.044431454960019656,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
37,0.2696253515497418,0.3009029421671539,0.03127759061741209,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
38,0.24330048145747601,0.30818700081325034,0.06488651935577433,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
39,0.2507765039662073,0.3135460083369413,0.06276950437073398,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
40,0.23244655267583106,0.3129495185125234,0.08050296583669234,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
41,0.24717826198442716,0.3072181568270855,0.060039894842658315,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
42,0.2456748383105958,0.315403542580379,0.0697287042697832,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
43,0.261621458942064,0.3064165282040311,0.04479506926196708,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
44,0.25989778530832486,0.3127014733938767,0.05280368808555186,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
45,0.24635942103445685,0.3088291537196084,0.06246973268515155,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
46,0.2483590381939673,0.290805351441997,0.04244631324802969,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
47,0.2385206789923766,0.2854704908443887,0.04694981185201208,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
48,0.23654432545296894,0.30594901861381213,0.06940469316084319,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
49,0.22742130434168967,0.30058010778926303,0.07315880344757336,0.23649170306571685,0.3271528568045419,0.09066115373882508,0.25704480255263784,0.27500389321394986,0.017959090661312016
