condition,pair_id,r1_session,r2_session,r1_date,r2_date,R1->R2,R2->R1,gap
interference_fixed40,37,TSAL20250812_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,20250812,20250828,0.4013333862771981,0.5121643682418869,0.1108309819646887
interference_fixed40,38,TSAL20250812_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,20250812,20250829,0.4773383712034593,0.546733548210395,0.0693951770069356
interference_fixed40,39,TSAL20250812_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,20250812,20250830,0.4753705379043639,0.5393192784724098,0.0639487405680458
interference_fixed40,40,TSAL20250813_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,20250813,20250828,0.4190299264507462,0.4160239061876181,-0.003006020263128
interference_fixed40,41,TSAL20250813_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,20250813,20250829,0.4895524686339426,0.4536758879982392,-0.0358765806357033
interference_fixed40,42,TSAL20250813_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,20250813,20250830,0.4364888182533791,0.3832557256906738,-0.0532330925627052
forget_fixed31,1,TSAL20260609_0830_forgetAndForgetFree001,TSAL20260626_0830_forgetAndForgetFree001,20260609,20260626,0.4887619085943491,0.4445134997063265,-0.0442484088880225
forget_fixed31,2,TSAL20260609_0830_forgetAndForgetFree001,TSAL20260627_0830_forgetAndForgetFree001,20260609,20260627,0.435442874962684,0.4579379116302576,0.0224950366675735
forget_fixed31,3,TSAL20260609_0830_forgetAndForgetFree001,TSAL20260628_0830_forgetAndForgetFree001,20260609,20260628,0.4240733433890246,0.6273570284821006,0.203283685093076
forget_fixed31,4,TSAL20260610_0830_forgetAndForgetFree001,TSAL20260626_0830_forgetAndForgetFree001,20260610,20260626,0.4630160064904479,0.3971388453041461,-0.0658771611863017
forget_fixed31,5,TSAL20260610_0830_forgetAndForgetFree001,TSAL20260627_0830_forgetAndForgetFree001,20260610,20260627,0.4696990501778081,0.4933182696935173,0.023619219515709
forget_fixed31,6,TSAL20260610_0830_forgetAndForgetFree001,TSAL20260628_0830_forgetAndForgetFree001,20260610,20260628,0.4118982581073125,0.602867651854726,0.1909693937474135
forget_fixed31,7,TSAL20260611_0830_forgetAndForgetFree001,TSAL20260626_0830_forgetAndForgetFree001,20260611,20260626,0.447686460969815,0.3548164739248808,-0.0928699870449341
forget_fixed31,8,TSAL20260611_0830_forgetAndForgetFree001,TSAL20260627_0830_forgetAndForgetFree001,20260611,20260627,0.4944730857486422,0.4446153462529752,-0.049857739495667
forget_fixed31,9,TSAL20260611_0830_forgetAndForgetFree001,TSAL20260628_0830_forgetAndForgetFree001,20260611,20260628,0.4793163318667844,0.5625565293834291,0.0832401975166448
