animal,match_metric,pair_id,r1_date,r2_date,match_direction,anchor_session,trimmed_session,anchor_band_lower,anchor_band_upper,step,n_remaining,pair_msd_mean,distance_to_band,removed_index,removed_contribution
TS,position,22,20250807,20250828,trim_r2_to_r1,TSAL20250807_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,0.0,6.767111956258009,0,90,3.26942463462021,0.0,,
TS,position,22,20250807,20250828,trim_r1_to_r2,TSAL20250828_0830_interferenceAndInterferenceFree001,TSAL20250807_0830_staticAndStaticFree001,0.0,6.806088781713756,0,96,3.21370914420877,0.0,,
TS,position,23,20250807,20250829,trim_r2_to_r1,TSAL20250807_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,0.0,6.767111956258009,0,95,1.7066157425394444,0.0,,
TS,position,23,20250807,20250829,trim_r1_to_r2,TSAL20250829_0830_interferenceAndInterferenceFree001,TSAL20250807_0830_staticAndStaticFree001,0.0,3.9380207565989918,0,96,3.21370914420877,0.0,,
TS,position,24,20250807,20250830,trim_r2_to_r1,TSAL20250807_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,0.0,6.767111956258009,0,79,2.6436476124827175,0.0,,
TS,position,24,20250807,20250830,trim_r1_to_r2,TSAL20250830_0830_interferenceAndInterferenceFree001,TSAL20250807_0830_staticAndStaticFree001,0.0,8.443920781469508,0,96,3.21370914420877,0.0,,
TS,position,25,20250808,20250828,trim_r2_to_r1,TSAL20250808_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,0.4951483453791079,5.6376943412487694,0,90,3.26942463462021,0.0,,
TS,position,25,20250808,20250828,trim_r1_to_r2,TSAL20250828_0830_interferenceAndInterferenceFree001,TSAL20250808_0830_staticAndStaticFree001,0.0,6.806088781713756,0,62,3.0664213433139387,0.0,,
TS,position,26,20250808,20250829,trim_r2_to_r1,TSAL20250808_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,0.4951483453791079,5.6376943412487694,0,95,1.7066157425394444,0.0,,
TS,position,26,20250808,20250829,trim_r1_to_r2,TSAL20250829_0830_interferenceAndInterferenceFree001,TSAL20250808_0830_staticAndStaticFree001,0.0,3.9380207565989918,0,62,3.0664213433139387,0.0,,
TS,position,27,20250808,20250830,trim_r2_to_r1,TSAL20250808_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,0.4951483453791079,5.6376943412487694,0,79,2.6436476124827175,0.0,,
TS,position,27,20250808,20250830,trim_r1_to_r2,TSAL20250830_0830_interferenceAndInterferenceFree001,TSAL20250808_0830_staticAndStaticFree001,0.0,8.443920781469508,0,62,3.0664213433139387,0.0,,
TS,position,28,20250809,20250828,trim_r2_to_r1,TSAL20250809_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,0.0,6.315371163622654,0,90,3.26942463462021,0.0,,
TS,position,28,20250809,20250828,trim_r1_to_r2,TSAL20250828_0830_interferenceAndInterferenceFree001,TSAL20250809_0830_staticAndStaticFree001,0.0,6.806088781713756,0,61,3.09551816819512,0.0,,
TS,position,29,20250809,20250829,trim_r2_to_r1,TSAL20250809_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,0.0,6.315371163622654,0,95,1.7066157425394444,0.0,,
TS,position,29,20250809,20250829,trim_r1_to_r2,TSAL20250829_0830_interferenceAndInterferenceFree001,TSAL20250809_0830_staticAndStaticFree001,0.0,3.9380207565989918,0,61,3.09551816819512,0.0,,
TS,position,30,20250809,20250830,trim_r2_to_r1,TSAL20250809_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,0.0,6.315371163622654,0,79,2.6436476124827175,0.0,,
TS,position,30,20250809,20250830,trim_r1_to_r2,TSAL20250830_0830_interferenceAndInterferenceFree001,TSAL20250809_0830_staticAndStaticFree001,0.0,8.443920781469508,0,61,3.09551816819512,0.0,,
TS,position,31,20250810,20250828,trim_r2_to_r1,TSAL20250810_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,0.01550132108327995,5.170322117402609,0,90,3.26942463462021,0.0,,
TS,position,31,20250810,20250828,trim_r1_to_r2,TSAL20250828_0830_interferenceAndInterferenceFree001,TSAL20250810_0830_staticAndStaticFree001,0.0,6.806088781713756,0,83,2.5929117192429443,0.0,,
TS,position,32,20250810,20250829,trim_r2_to_r1,TSAL20250810_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,0.01550132108327995,5.170322117402609,0,95,1.7066157425394444,0.0,,
TS,position,32,20250810,20250829,trim_r1_to_r2,TSAL20250829_0830_interferenceAndInterferenceFree001,TSAL20250810_0830_staticAndStaticFree001,0.0,3.9380207565989918,0,83,2.5929117192429443,0.0,,
TS,position,33,20250810,20250830,trim_r2_to_r1,TSAL20250810_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,0.01550132108327995,5.170322117402609,0,79,2.6436476124827175,0.0,,
TS,position,33,20250810,20250830,trim_r1_to_r2,TSAL20250830_0830_interferenceAndInterferenceFree001,TSAL20250810_0830_staticAndStaticFree001,0.0,8.443920781469508,0,83,2.5929117192429443,0.0,,
TS,position,34,20250811,20250828,trim_r2_to_r1,TSAL20250811_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,0.0,4.353527200995094,0,90,3.26942463462021,0.0,,
TS,position,34,20250811,20250828,trim_r1_to_r2,TSAL20250828_0830_interferenceAndInterferenceFree001,TSAL20250811_0830_staticAndStaticFree001,0.0,6.806088781713756,0,86,2.0624760614290167,0.0,,
TS,position,35,20250811,20250829,trim_r2_to_r1,TSAL20250811_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,0.0,4.353527200995094,0,95,1.7066157425394444,0.0,,
TS,position,35,20250811,20250829,trim_r1_to_r2,TSAL20250829_0830_interferenceAndInterferenceFree001,TSAL20250811_0830_staticAndStaticFree001,0.0,3.9380207565989918,0,86,2.0624760614290167,0.0,,
TS,position,36,20250811,20250830,trim_r2_to_r1,TSAL20250811_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,0.0,4.353527200995094,0,79,2.6436476124827175,0.0,,
TS,position,36,20250811,20250830,trim_r1_to_r2,TSAL20250830_0830_interferenceAndInterferenceFree001,TSAL20250811_0830_staticAndStaticFree001,0.0,8.443920781469508,0,86,2.0624760614290167,0.0,,
TS,position,37,20250812,20250828,trim_r2_to_r1,TSAL20250812_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,0.1304784093284661,3.442847305365593,0,90,3.26942463462021,0.0,,
TS,position,37,20250812,20250828,trim_r1_to_r2,TSAL20250828_0830_interferenceAndInterferenceFree001,TSAL20250812_0830_staticAndStaticFree001,0.0,6.806088781713756,0,76,1.7866628573470293,0.0,,
TS,position,38,20250812,20250829,trim_r2_to_r1,TSAL20250812_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,0.1304784093284661,3.442847305365593,0,95,1.7066157425394444,0.0,,
TS,position,38,20250812,20250829,trim_r1_to_r2,TSAL20250829_0830_interferenceAndInterferenceFree001,TSAL20250812_0830_staticAndStaticFree001,0.0,3.9380207565989918,0,76,1.7866628573470293,0.0,,
TS,position,39,20250812,20250830,trim_r2_to_r1,TSAL20250812_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,0.1304784093284661,3.442847305365593,0,79,2.6436476124827175,0.0,,
TS,position,39,20250812,20250830,trim_r1_to_r2,TSAL20250830_0830_interferenceAndInterferenceFree001,TSAL20250812_0830_staticAndStaticFree001,0.0,8.443920781469508,0,76,1.7866628573470293,0.0,,
TS,position,40,20250813,20250828,trim_r2_to_r1,TSAL20250813_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,0.09770219612156184,2.9800216784508313,0,90,3.26942463462021,0.2894029561693787,,
TS,position,40,20250813,20250828,trim_r2_to_r1,TSAL20250813_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,0.09770219612156184,2.9800216784508313,1,89,2.968565218392912,0.0,0.0,16.507238948621314
TS,position,40,20250813,20250828,trim_r1_to_r2,TSAL20250828_0830_interferenceAndInterferenceFree001,TSAL20250813_0830_staticAndStaticFree001,0.0,6.806088781713756,0,58,1.5388619372861965,0.0,,
TS,position,41,20250813,20250829,trim_r2_to_r1,TSAL20250813_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,0.09770219612156184,2.9800216784508313,0,95,1.7066157425394444,0.0,,
TS,position,41,20250813,20250829,trim_r1_to_r2,TSAL20250829_0830_interferenceAndInterferenceFree001,TSAL20250813_0830_staticAndStaticFree001,0.0,3.9380207565989918,0,58,1.5388619372861965,0.0,,
TS,position,42,20250813,20250830,trim_r2_to_r1,TSAL20250813_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,0.09770219612156184,2.9800216784508313,0,79,2.6436476124827175,0.0,,
TS,position,42,20250813,20250830,trim_r1_to_r2,TSAL20250830_0830_interferenceAndInterferenceFree001,TSAL20250813_0830_staticAndStaticFree001,0.0,8.443920781469508,0,58,1.5388619372861965,0.0,,
