match_direction,score,pair_id,r1_session,r2_session,R1->R2,R2->R1,gap
trim_r2_to_r1,original,27,TSAL20250808_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,0.4515499453805927,0.4521308297676585,0.0005808843870658276
trim_r2_to_r1,original,28,TSAL20250809_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,0.3767451061638033,0.4002239035600216,0.023478797396218276
trim_r2_to_r1,original,29,TSAL20250809_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,0.4142041246200627,0.6933638180460813,0.2791596934260186
trim_r2_to_r1,original,30,TSAL20250809_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,0.4160977039563749,0.476202494022545,0.06010479006617009
trim_r2_to_r1,original,31,TSAL20250810_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,0.2939688866191878,0.5369357654475492,0.24296687882836138
trim_r2_to_r1,original,32,TSAL20250810_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,0.4545918331896126,0.6243378955314558,0.1697460623418432
trim_r2_to_r1,original,33,TSAL20250810_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,0.4513788703648755,0.3901013210053162,-0.061277549359559313
trim_r2_to_r1,original,34,TSAL20250811_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,0.4842069184943408,0.572986142989006,0.08877922449466519
trim_r2_to_r1,original,35,TSAL20250811_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,0.3173987482468914,0.3878572708222896,0.0704585225753982
trim_r2_to_r1,original,36,TSAL20250811_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,0.5559034613029286,0.393255618234805,-0.16264784306812358
trim_r2_to_r1,original,37,TSAL20250812_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,0.4866335483841918,0.4897670112048637,0.003133462820671895
trim_r2_to_r1,original,38,TSAL20250812_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,0.3831458129686703,0.576555652103907,0.19340983913523674
trim_r2_to_r1,original,39,TSAL20250812_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,0.4921715057673056,0.242043872565884,-0.2501276332014216
trim_r2_to_r1,original,40,TSAL20250813_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,0.4442348886347542,0.5201304820173397,0.0758955933825855
trim_r2_to_r1,original,41,TSAL20250813_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,0.4922166859111386,0.5052481534154207,0.013031467504282135
trim_r2_to_r1,original,42,TSAL20250813_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,0.4482569277669474,0.212969850086503,-0.23528707768044443
trim_r2_to_r1,matched,1,TSAL20250731_0830_staticAndStaticFree,TSAL20250828_0830_interferenceAndInterferenceFree001,0.2620183330244693,0.5311800143304759,0.2691616813060066
trim_r2_to_r1,matched,2,TSAL20250731_0830_staticAndStaticFree,TSAL20250829_0830_interferenceAndInterferenceFree001,0.1529209329133686,0.5183066830901308,0.3653857501767622
trim_r2_to_r1,matched,3,TSAL20250731_0830_staticAndStaticFree,TSAL20250830_0830_interferenceAndInterferenceFree001,0.2719677504932341,0.328566111424137,0.056598360930902925
trim_r2_to_r1,matched,4,TSAL20250801_0830_staticAndStaticFree,TSAL20250828_0830_interferenceAndInterferenceFree001,0.323586401167742,0.5163413651412946,0.19275496397355257
trim_r2_to_r1,matched,5,TSAL20250801_0830_staticAndStaticFree,TSAL20250829_0830_interferenceAndInterferenceFree001,0.2897759627235042,0.628827283312907,0.33905132058940285
trim_r2_to_r1,matched,6,TSAL20250801_0830_staticAndStaticFree,TSAL20250830_0830_interferenceAndInterferenceFree001,0.3452437757590118,0.4736422377931756,0.12839846203416383
trim_r2_to_r1,matched,7,TSAL20250802_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,0.3810611238041329,0.3650361483540571,-0.01602497545007575
trim_r2_to_r1,matched,8,TSAL20250802_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,0.5167469251895925,0.4752120981605562,-0.041534827029036325
trim_r2_to_r1,matched,9,TSAL20250802_0830_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,0.5219515167822435,0.3224964809689251,-0.19945503581331842
trim_r2_to_r1,matched,10,TSAL20250803_1400_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,0.2910786903312962,0.5543433331476221,0.2632646428163259
trim_r2_to_r1,matched,11,TSAL20250803_1400_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,0.2694132557873148,0.5790025207904078,0.30958926500309303
trim_r2_to_r1,matched,12,TSAL20250803_1400_staticAndStaticFree001,TSAL20250830_0830_interferenceAndInterferenceFree001,0.191698027394859,0.3077190105006544,0.11602098310579542
trim_r2_to_r1,matched,13,TSAL20250804_0830_staticAndStaticFree001,TSAL20250828_0830_interferenceAndInterferenceFree001,0.3523813629450191,0.2214272234500103,-0.13095413949500878
trim_r2_to_r1,matched,14,TSAL20250804_0830_staticAndStaticFree001,TSAL20250829_0830_interferenceAndInterferenceFree001,0.3223185595720496,0.500059900165977,0.17774134059392743
